,1/N,Min-Var (LW),Risk Parity,60/40,HRP,MV Robust (Shrunk20)
2022-03-29,1.1591654604535038,1.0325711068812926,1.158906816262234,1.1030870017492935,1.0538689983551046,1.113601295268408
2022-03-30,1.1571635035167571,1.034210885963169,1.1569065140006796,1.1007345048023134,1.052396247043058,1.1171596449028587
2022-03-31,1.1444395206220015,1.0309047473939004,1.1441882552837481,1.0913903630070818,1.0459698189421498,1.1030650593289701
2022-04-01,1.1531490811444327,1.0322982782535157,1.1528934711172094,1.090403783817459,1.0506092372430316,1.1110911162838277
2022-04-04,1.1619330727205501,1.0343157103602538,1.1616731573791765,1.095721973804821,1.054836826600987,1.120389941560333
2022-04-05,1.146080322355217,1.025467697913581,1.1458257723398113,1.0821951660161104,1.0469786519459532,1.1049663553765698
2022-04-06,1.136691590985994,1.022676230824209,1.1364411813689472,1.074181447124926,1.0430849629214989,1.0973257554687241
2022-04-07,1.135602300249234,1.0217551657878208,1.135352012408868,1.0763646967077731,1.0422284073000838,1.0984660409975844
2022-04-08,1.135087860299124,1.0196571077380645,1.1348370727120733,1.0724578435980991,1.0420520729772464,1.100423129180586
2022-04-19,1.1333746041831865,1.016156763318946,1.1331226078482697,1.0800166612270834,1.0403343672254428,1.0945349862926874
2022-04-20,1.13629393691144,1.0213426345305936,1.136043268069244,1.0829093773829808,1.044481268355786,1.1005504371041879
2022-04-21,1.1245802279045378,1.0156043055450932,1.1243347053569048,1.0708025790621,1.0373483573226525,1.0933196131181693
2022-04-22,1.1086432246383566,1.008509861606906,1.1084037081695377,1.0533817586448924,1.0296848997088812,1.07147406878698
2022-04-25,1.1062273405907819,1.0107802151053507,1.1059897092390254,1.0597528654403416,1.0328091038892866,1.0634269440772
2022-04-26,1.090665715460894,1.0085931870149432,1.090437211363596,1.0441667053901558,1.0256789507719342,1.0527098695808812
2022-04-27,1.0923216369829387,1.0058661548293957,1.092090247938297,1.0436009670772772,1.0240478062366813,1.0547632437631773
2022-04-28,1.1049927192197193,1.0094890415618165,1.104755657926151,1.05881240320519,1.0291740917205834,1.0690605462798377
2022-04-29,1.0901090316546689,1.0004705734558224,1.0898757406891717,1.0330813352819743,1.0188007187143004,1.0500092507105192
2022-05-02,1.0876179092595901,0.9967575513251866,1.0873841996331017,1.0337338814215724,1.0156811198832028,1.0458618718466723
2022-05-03,1.0922803385524,0.9998277547830285,1.0920445317855387,1.0370639764089107,1.0195903721773703,1.0484968363850315
2022-05-04,1.1099770986296207,1.0098286721972654,1.109735214594884,1.0586961804167259,1.0297367786856377,1.0690771269399524
2022-05-05,1.0826094169202052,0.998635202546123,1.0823792549886486,1.0318714797070876,1.0143114475145076,1.0485903450040164
2022-05-06,1.0737077481141142,0.994122010401814,1.0734813509083307,1.0258214806836334,1.0076441053206138,1.0452910984926236
2022-05-09,1.0481739819437599,0.9875344919111584,1.0479588598161638,1.009159219213725,0.9979547811706522,1.013198210458396
2022-05-10,1.0488750194050793,0.9888057881343976,1.0486589918058882,1.0119059490811844,1.0002236248696719,1.0073009770027601
2022-05-11,1.0479068816350983,0.9912622452194848,1.0476934116454006,1.0047564600742618,0.9994659149221016,1.0125705251821828
2022-05-12,1.0469405062457071,0.9907534406880371,1.0467268735302686,1.0054561345422766,0.9991756389629542,1.0141348595799422
2022-05-13,1.064171246460591,0.9916010560459132,1.0639479935424525,1.0177737191892169,1.004369967816005,1.0297364932137474
2022-05-16,1.0660633142627887,0.9935664493923659,1.0658401735272374,1.0170018614688043,1.0042951693594688,1.0362340520898945
2022-05-17,1.077230699286411,0.9932876992170732,1.0770000131931763,1.0264745736712602,1.0079488624712443,1.0449864639355582
2022-05-25,1.082263864818091,0.9972803882789517,1.0820311462457461,1.0327441976722305,1.01351501276001,1.0475262716419915
2022-05-26,1.0942918364576395,1.0005208827200105,1.0940517869929414,1.0449273991326802,1.0202970053975984,1.0546731807163108
2022-05-27,1.1060036059247658,1.0045287359428365,1.1057577354591663,1.060920127496334,1.0272464282385585,1.0636520254781576
2022-05-31,1.1010510544187166,0.9984628130464449,1.1008041963791857,1.0529181609844676,1.0219598143925965,1.0594256572046166
2022-06-01,1.0962604529383797,0.9961568098240958,1.0960162598033647,1.0454369529616112,1.018298490481553,1.0575958876298082
2022-06-02,1.1125961610865056,1.0013824706108603,1.1123439767211576,1.0579935297667653,1.0269686065619787,1.0701794082484748
2022-06-03,1.1018094177215514,0.997009285802677,1.1015625243568532,1.0467518198453591,1.0198591539404886,1.0663833334355604
2022-06-06,1.1021497488313332,0.9928386752590889,1.1019001875868266,1.045520620038897,1.0170796892332232,1.0653925239817241
2022-06-07,1.108175660987204,0.9968337025697758,1.1079242840517123,1.053222446549338,1.021199167169366,1.072549876985913
2022-06-08,1.1018233840735572,0.9921748024438197,1.101573648588217,1.0447854777872543,1.0144972177167069,1.0692169166590726
2022-06-09,1.0856371828723312,0.9867199744701429,1.085396229816167,1.0295074251661203,1.0050825760784436,1.060029174878802
2022-06-10,1.0694552778221273,0.9790817873406311,1.0692218131453786,1.0075485332798202,0.9924137299368995,1.0503035292390626
2022-06-13,1.0383923501025791,0.960490050516523,1.0381707781945946,0.9774339686664542,0.969506102497639,1.0319365752703684
2022-06-14,1.0352580823377622,0.9572694732776568,1.0350357924547737,0.97254503817695,0.9677431621249696,1.025493872952715
2022-06-15,1.0507464804910647,0.968355155620273,1.0505191305804733,0.986294038174557,0.9813926819242513,1.0315194874459024
2022-06-16,1.033031417635689,0.9639476552045857,1.0328155956254028,0.9692852639728581,0.968680624764373,1.0230485723637341
