train_start,train_end,test_start,test_end,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cumulative_nav,turnover,cost_fraction
2014-11-06,2015-11-05,2015-11-10,2015-12-09,-0.017360375141340034,-0.18954057620982911,0.1006132894184582,-2.0375695912426064,-0.02768553262642881,0.98263962485866,0.002018726906289039,4.030962025816128e-06
2014-12-10,2015-12-09,2015-12-14,2016-01-13,-0.03620553413724237,-0.35758874834881016,0.12141528478457525,-3.580706707514132,-0.05809888084459214,0.9637944658627576,0.0031632582535158164,6.32110546324812e-06
2015-01-14,2016-01-13,2016-01-19,2016-02-17,0.015828630182896708,0.2073839161126867,0.1414501943719747,1.403328577638659,-0.04026049286327804,1.0158286301828967,0.002831775624093934,5.655857759250051e-06
2015-02-18,2016-02-17,2016-02-22,2016-03-21,0.046223633729771896,0.7198648311797746,0.08821356338925651,6.197612247415345,-0.008650550035704696,1.046223633729772,0.002135753871145551,4.26369779668953e-06
2015-03-23,2016-03-21,2016-03-24,2016-04-22,0.03088962022056485,0.44060859675739583,0.07175805677647533,5.126964518816546,-0.011203362010826612,1.0308896202205649,0.0021385907951729224,4.268913607487445e-06
2015-04-24,2016-04-22,2016-04-27,2016-05-25,-0.004304717294760563,-0.05045096889250522,0.08026303945032692,-0.6047970251092942,-0.023082071994496745,0.9956952827052394,0.0024119797934474313,4.816132682452666e-06
2015-05-28,2016-05-25,2016-05-31,2016-06-28,-0.00013304170707439944,-0.0015953327964807196,0.10068868653456145,0.03471078522118401,-0.02933968517543828,0.9998669582929256,0.0006928607379803262,1.3780452618298466e-06
2015-06-30,2016-06-28,2016-07-01,2016-08-01,0.014525231029995034,0.1889243664223319,0.055676207592118804,3.1369357091589976,-0.006320454718171997,1.014525231029995,0.003699963383569123,7.3877741057005685e-06
2015-08-03,2016-08-01,2016-08-04,2016-09-01,0.007155007590436968,0.08932080096721373,0.03637230275445932,2.3707636014735685,-0.007844132981039253,1.007155007590437,5.116807034054432e-06,1.6128667042261674e-13
2015-09-03,2016-09-01,2016-09-07,2016-10-05,-0.012530279422898527,-0.14042168777021202,0.10978764060836615,-1.322695874016355,-0.02544295244934147,0.9874697205771015,6.9004659544190545e-06,1.9335237498666738e-13
2015-10-07,2016-10-05,2016-10-10,2016-11-07,-0.003907946062518208,-0.04590041332711692,0.06450316961307484,-0.6962497156600327,-0.02108033665783493,0.9960920539374818,0.00010288941505314761,1.961979091940828e-07
2015-11-09,2016-11-07,2016-11-10,2016-12-09,0.043088263032834195,0.6590241359062514,0.04611182092807371,11.012324767326124,-0.0030062741828683626,1.0430882630328342,0.006363226723735162,1.2727589444849493e-05
2015-12-11,2016-12-09,2016-12-14,2017-01-13,-0.0006497990204012982,-0.007769780759513734,0.0528072079031786,-0.12128649530952708,-0.0074379143315322915,0.9993502009795987,0.007950992394041435,1.5899033043498264e-05
2016-01-15,2017-01-13,2017-01-19,2017-02-16,0.018871513497633385,0.2515063003984166,0.04562378899715067,4.942333716031045,-0.00908280275069473,1.0188715134976334,0.0016811731273596504,3.353057708627025e-06
2016-02-19,2017-02-16,2017-02-22,2017-03-22,-0.014513127090404532,-0.16090694976355946,0.06464020352558549,-2.6807927264130607,-0.022622765049171045,0.9854868729095955,0.004851112428500129,9.698711008241593e-06
2016-03-23,2017-03-22,2017-03-27,2017-04-25,0.01419987568297354,0.1843570122510061,0.05193779347640987,3.2847798864150155,-0.009166449941382493,1.0141998756829735,4.756860950404251e-06,8.384841736568423e-12
2016-04-26,2017-04-25,2017-04-28,2017-05-26,0.011051762888563355,0.14098698144178967,0.05291782498326384,2.5195768571580515,-0.010290665504173124,1.0110517628885634,0.002404509401709513,4.800587242540757e-06
2016-05-27,2017-05-26,2017-06-01,2017-06-29,0.004823831024358904,0.05944671364238707,0.05018813275536927,1.175809040410745,-0.010597226220836031,1.004823831024359,0.021165235777314648,4.232781144377787e-05
2016-06-30,2017-06-29,2017-07-05,2017-08-02,0.005672228196594409,0.07023090068736915,0.035012374567991965,1.9563716092210592,-0.006859309131004743,1.0056722281965944,0.004400475649306247,8.795990379474536e-06
2016-08-03,2017-08-02,2017-08-07,2017-09-05,-0.0010434275190173148,-0.01244952266217092,0.058762656563552874,-0.1837830210624279,-0.010853120554632611,0.9989565724809827,0.00337979560546851,6.747369257672574e-06
2016-09-06,2017-09-05,2017-09-08,2017-10-06,0.024169357898311095,0.3318684662444238,0.03240617430795899,8.864678600125567,-0.002998149973866049,1.024169357898311,0.0018300990818746912,3.6497191699511044e-06
2016-10-07,2017-10-06,2017-10-11,2017-11-08,0.010032073404209418,0.12725450451973708,0.029367891196622857,4.094440265532453,-0.004782613549316417,1.0100320734042094,0.007364324024252914,1.4723207686290355e-05
2016-11-09,2017-11-08,2017-11-13,2017-12-12,0.031134218162341076,0.44471569132577704,0.048484718986852596,7.617944101173085,-0.005309351436724619,1.031134218162341,0.0010961241654281284,2.1814821385999505e-06
2016-12-13,2017-12-12,2017-12-15,2018-01-17,0.03564474162504516,0.522403077498673,0.052781975347951544,7.995763666632075,-0.008065242631841496,1.0356447416250452,0.018495824772533895,3.698718103793773e-05
2017-01-18,2018-01-17,2018-01-22,2018-02-20,-0.035542194921214576,-0.3522628818520833,0.16102477710337004,-2.613255771554215,-0.07320731983959483,0.9644578050787854,0.011156806662795686,2.230660357947792e-05
2017-02-21,2018-02-20,2018-02-23,2018-03-23,-0.026831968972710896,-0.27847064488549156,0.10985877324410319,-2.9139362013588355,-0.043369918519976514,0.9731680310272891,0.0032243460812924826,6.441975496131804e-06
2017-03-24,2018-03-23,2018-03-28,2018-04-26,0.013081275918570778,0.16877648142588786,0.0939144970222281,1.708242635904052,-0.013854209604252654,1.0130812759185708,0.00023706997167239133,4.6075782112028354e-07
2017-04-27,2018-04-26,2018-05-01,2018-05-30,0.01688020736875817,0.22246808925684491,0.05907288411775312,3.431249865363002,-0.010599109577639876,1.0168802073687582,0.004063774614383669,8.11186289588989e-06
2017-05-31,2018-05-30,2018-06-04,2018-07-02,-0.009765759802770946,-0.11109516013231846,0.04454365649547912,-2.620886198940016,-0.022089361547754316,0.990234240197229,0.0046999807654551995,9.408127333482497e-06
2017-07-03,2018-07-02,2018-07-06,2018-08-03,0.020268162748534824,0.27224870522164624,0.047261130819996305,5.120869888386811,-0.0065621142571311575,1.0202681627485348,0.002759881658453852,5.509958314919573e-06
2017-08-04,2018-08-03,2018-08-08,2018-09-06,-0.0003436776149808862,-0.004116344759381385,0.05402433325520399,-0.04934991375759779,-0.011600869834090144,0.9996563223850191,5.410426947303468e-06,1.5122046983534989e-12
2017-09-07,2018-09-06,2018-09-11,2018-10-09,-0.00010251268782457412,-0.0012294589066672579,0.038446690639202585,-0.012762167346142059,-0.01373928082549758,0.9998974873121754,0.0016366657219674683,3.2645026772894355e-06
